Group/Investment,Ticker,Inception Date,Morningstar Category,Index,Analysis Date,Analyst Rating,People Rating,Process Rating,Parent Rating,Performance Rating,Price Rating,Star Rating,Prospectus Adjusted Operating Expense Ratio,Morningstar Fee Level Rank - Distribution,Fund Size,Fund Size Rank,Est Fund-Level Net Flow 1 Yr,Est Fund-Level Net Flow 1 Yr Rank,Est Fund-Level Net Flow 3 Yr,Est Fund-Level Net Flow 3 Yr Rank,Est Fund-Level Net Flow 5 Yr,Est Fund-Level Net Flow 5 Yr Rank,Flows % 1 Yr,Flows % 1 Yr Rank,Manager Tenure - Longest,Manager Tenure - Longest Rank,Manager Tenure - Average,Manager Tenure - Average Rank,Manager Ownership Level,12 Mo Yield,12 Mo Yield Rank,Eff Duration,Eff Duration Rank,Credit Qual AAA %,Credit Qual AAA Rank,Credit Qual AA %,Credit Qual AA Rank,Credit Qual A % ,Credit Qual A Rank,Credit Qual BBB %,Credit Qual BBB Rank,Credit Qual BB %,Credit Qual BB Rank,Credit Qual B %,Credit Qual B Rank,Credit Qual CCC %,Credit Qual CCC Rank,Credit Qual NR %,Credit Qual NR Rank,% Asset in Top 10,% Asset in Top 10 Rank,# of Holdings ,# of Holdings Rank,Government %,Government Rank,Government Related % ,Government Related Rank,Corporate Bond %,Corporate Bond Rank,Agency MBS %,Agency MBS Rank,Nonagency RMBS %,Nonagency RMBS Rank,CMBS % ,CMBS Rank,ABS %,ABS Rank,Cash & Equivalents % ,Cash & Equivalents Rank,3 Yr Return,3 Yr Return Rank,3 Yr Std Dev,3 Yr Std Dev Rank,3 Yr Sharpe Ratio,3 Yr Sharpe Ratio Rank,3 Yr Alpha,3 Yr Alpha Rank,3 Yr Beta,3 Yr Beta Rank,3 Yr R2,3 Yr R2 Rank,3 Yr Max Drawdown,3 Yr Max Drawdown Rank,5 Yr Return,5 Yr Return Rank,5 Yr Std Dev,5 Yr Std Dev Rank,5 Yr Sharpe Ratio,5 Yr Sharpe Ratio Rank,5 Yr Alpha,5 Yr Alpha Rank,5 Yr Beta,5 Yr Beta Rank,5 Yr R2,5 Yr R2 Rank,5 Yr Max Drawdown,5 Yr Max Drawdown Rank,10 Yr Return,10 Yr Return Rank,10 Yr Std Dev,10 Yr Std Dev Rank,10 Yr Sharpe Ratio,10 Yr Sharpe Ratio Rank,10 Yr Alpha,10 Yr Alpha Rank,10 Yr Beta,10 Yr Beta Rank,10 Yr R2,10 Yr R2 Rank,10 Yr Max Drawdown,10 Yr Max Drawdown Rank,15 Yr Return,15 Yr Return Rank,15 Yr Std Dev,15 Yr Std Dev Rank,15 Yr Sharpe Ratio,15 Yr Sharpe Ratio Rank,15 Yr Alpha,15 Yr Alpha Rank,15 Yr Beta,15 Yr Beta Rank,15 Yr R2,15 Yr R2 Rank,15 Yr Max Drawdown,15 Yr Max Drawdown Rank,IR Shock Oct 2010 - Jan 2011,IR Shock Oct 2010 - Jan 2011 Rank,Eurozone Crisis June - Sep 2011,Eurozone Crisis June - Sep 2011 Rank,Taper Tantrum May - Aug 2013,Taper Tantrum May - Aug 2013 Rank,EM LC Sell-Off Sep - Dec 2014,EM LC Sell-Off Sep - Dec 2014 Rank,HY Sell-Off June 2015 - Feb 2016,HY Sell-Off June 2015 - Feb 2016 Rank,IR Shock Aug - Dec 2016,IR Shock Aug - Dec 2016 Rank,IR Shock 2018 Jan - Oct 2018,IR Shock 2018 Jan - Oct 2018 Rank,EM LC Sell-Off April - Oct 2019,EM LC Sell-Off April - Oct 2019 Rank,HY Equity Sell-Off Oct - Dec 2018,HY Equity Sell-Off Oct - Dec 2018 Rank,2008 Return,2008 Return Rank,2009 Return,2009 Return Rank
Schroder Long Duration Inv-Grd Bd Inv,STWLX,10/3/11,US Fund Long-Term Bond,No,,,,,,,,2.00,0.32,43,"134,751,467.00",68,"14,984,072.42",37,"44,016,079.80",48,"76,807,997.16",42,12.30,28,7.75,55,6.46,46,Neil G. Sutherland [$0 - None];Julio C. Bonilla [$0 - None];Andrew B.J. Chorlton [$0 - None];Lisa Hornby [$0 - None];,3.02,90,,,56.16,5,4.57,95,19.28,86,19.99,73,0.00,64,0.00,41,0.00,28,0.00,32,53.94,10,133,82,54.13,1,0.00,72,43.77,72,0.00,28,0.00,28,0.00,28,0.00,61,0.88,56,3.68,81,7.71,1,0.32,85,-0.09,90,1.00,1,99.38,1,-9.54,81,5.16,68,8.07,6,0.55,94,-0.47,100,1.00,6,-10.37,94,96.91,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.35,70,2.74,11,-1.86,73,-8.72,95,-8.83,77,-5.32,100,1.01,19,,,,
SEI Long Duration A (SIIT),LDRAX,4/21/04,US Fund Long-Term Bond,No,,,,,,,,4.00,0.15,32,"1,448,797,919.00",28,"-700,670,796.14",100,"-1,548,006,188.48",100,"-3,043,123,064.30",94,-32.25,95,14.58,10,7.95,32,Jeffrey A. Koch [$0 - None];Tad Rivelle [$0 - None];Laird R. Landmann [$0 - None];John T. Bender [$0 - None];Thomas G. Wolfe [$0 - None];Stephen M. Kane [$0 - None];Miriam Zussman [$0 - None];Edmund F. Ingalls [$0 - None];Timothy J. Bacik [$0 - None];Bryan T. Whalen [$0 - None];Bill A. O'Malley [$0 - None];Erik S. Brown [$0 - None];Itai Lourie [$0 - None];Richard A. Klemmer [$0 - None];Eric G. Staudt [$0 - None];Dave Nirtaut [$0 - None];James E. Gubitosi [$0 - None];Richard A. Bamford [$0 - None];Erin K. Garrett [$0 - None];Samuel B. Kaplan [$0 - None];James Gaul [$0 - None];Jordan Bond [$0 - None];Patrick Dan [$0 - None];,3.67,62,,,31.82,32,11.81,41,26.00,59,30.15,55,0.14,41,0.00,41,0.02,23,0.06,28,22.94,23,813,41,23.42,34,12.20,6,57.69,61,1.01,23,0.03,23,0.00,28,0.44,28,1.40,45,4.65,48,7.42,19,0.46,71,0.92,71,0.97,15,99.19,15,-8.95,52,6.06,16,7.75,16,0.68,32,0.52,47,0.97,16,-9.91,79,98.97,11,8.36,37,7.99,28,0.98,64,0.94,64,0.96,19,98.44,10,-10.29,64,6.11,83,8.16,83,0.60,83,-0.04,83,0.86,67,-16.58,34,86.62,34,-5.74,73,11.73,20,-10.29,65,2.69,21,0.50,47,-7.97,81,-8.49,55,-5.01,68,0.24,32,-5.52,75,3.38,78
SEI Long Duration Credit A (SIIT),SLDAX,6/29/12,US Fund Long-Term Bond,No,,,,,,,,3.00,0.15,32,"4,031,087,449.00",19,"-215,929,823.21",95,"237,093,461.74",19,"511,876,067.83",16,-5.00,77,7.08,59,5.79,59,Jeffrey A. Koch [$0 - None];Tad Rivelle [$0 - None];Laird R. Landmann [$0 - None];John T. Bender [$0 - None];Thomas G. Wolfe [$0 - None];Stephen M. Kane [$0 - None];Miriam Zussman [$0 - None];Edmund F. Ingalls [$0 - None];Timothy J. Bacik [$0 - None];Bryan T. Whalen [$0 - None];Bill A. O'Malley [$0 - None];Erik S. Brown [$0 - None];Itai Lourie [$0 - None];Richard A. Klemmer [$0 - None];Eric G. Staudt [$0 - None];Dave Nirtaut [$0 - None];James E. Gubitosi [$0 - None];Richard A. Bamford [$0 - None];Erin K. Garrett [$0 - None];Samuel B. Kaplan [$0 - None];James Gaul [$0 - None];Jordan Bond [$0 - None];Patrick Dan [$0 - None];,3.66,67,,,11.08,46,26.93,10,53.47,5,8.45,91,0.07,59,0.00,41,0.00,28,0.00,32,12.31,68,"1,025",32,4.28,61,7.76,12,80.28,28,0.00,28,0.00,28,0.07,12,0.24,34,1.48,39,4.74,34,7.03,48,0.49,48,1.15,52,0.90,29,95.48,29,-8.86,48,5.74,32,7.32,53,0.68,42,0.53,42,0.89,37,-9.75,68,95.21,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.43,24,1.37,63,0.94,32,-6.80,57,-8.79,68,-5.00,64,-0.56,46,,,,
SEI Tax-Advantaged Income F (STET),SEATX,9/4/07,US Fund Long-Term Bond,No,,,,,,,,2.00,1.09,95,"1,297,635,159.00",32,"-27,401,247.55",82,"-26,292,501.27",76,"303,575,899.29",32,-2.07,64,11.83,28,7.54,37,Mark A. Lieb [$0 - None];Lyle J. Fitterer [$0 - None];L. Phillip Jacoby [$0 - None];Fernando Diaz [$0 - None];Dennis Derby [$0 - None];Manu Krishnan [$0 - None];Roberto Giangregorio [$0 - None];Terry J. Goode [$0 - None];David Hammer [$0 - None];Richard A. Bamford [$0 - None];Erin K. Garrett [$0 - None];,4.09,15,,,3.81,82,12.50,32,19.69,82,39.01,37,12.31,1,6.57,5,1.96,1,4.14,1,11.79,73,549,46,0.00,83,-0.72,89,10.14,89,0.00,28,0.00,28,0.00,28,0.00,61,5.28,6,3.69,76,3.68,95,0.61,10,1.26,38,0.38,100,63.77,100,-5.68,10,5.12,73,3.21,100,1.29,1,2.62,1,0.31,100,-5.68,11,58.15,100,7.03,82,4.64,82,1.38,10,4.32,1,0.29,100,26.68,100,-8.48,19,,,,,,,,,,,,,,,-4.32,47,0.06,100,-8.48,12,1.65,53,4.68,11,-4.42,10,0.23,1,0.60,1,-0.85,59,-19.91,100,34.13,1
Sextant Bond Income,SBIFX,3/1/93,US Fund Long-Term Bond,No,,,,,,,,1.00,0.65,67,"11,486,799.00",100,"683,857.72",55,"2,110,651.99",62,"2,628,206.26",53,6.31,46,23.58,1,13.96,1,Phelps S. McIlvaine [$0 - None];Patrick T. Drum [$0 - None];,2.95,95,6.96,93,34.08,28,17.67,19,33.16,50,12.81,82,2.28,28,0.00,41,0.00,28,0.00,32,39.32,14,40,95,24.68,28,1.87,34,58.94,56,0.00,28,0.00,28,0.00,28,0.00,61,2.79,23,2.56,95,3.74,90,0.31,90,-0.04,85,0.46,90,91.77,48,-4.59,5,3.22,100,3.77,89,0.62,73,0.12,73,0.45,89,-4.59,6,90.55,53,4.39,100,3.92,100,0.99,55,0.68,73,0.45,91,87.57,37,-6.00,1,4.13,100,4.45,100,0.62,67,0.14,67,0.46,100,-10.43,1,82.58,50,-2.86,1,4.11,86,-6.00,1,1.02,73,0.28,58,-4.31,5,-3.04,14,-1.32,10,1.03,14,-0.78,50,9.52,45
SPDR® Portfolio Long Term Corp Bd ETF,SPLB,3/10/09,US Fund Long-Term Bond,Yes,,,,,,,,3.00,0.07,,"595,972,107.00",50,"255,479,501.70",19,"461,056,917.50",15,"464,174,794.53",21,65.30,5,6.75,64,4.75,73,Kyle Kelly [$0 - None];Christopher DiStefano [$0 - None];Frank Miethe [$0 - None];,4.04,19,14.26,13,3.21,91,6.31,55,37.92,23,52.57,10,0.00,64,0.00,41,0.00,28,0.00,32,3.53,91,"1,861",14,0.00,83,0.04,67,99.50,1,0.00,28,0.00,28,0.00,28,0.14,39,0.28,67,5.32,10,7.14,34,0.56,24,1.78,10,0.87,38,86.99,81,-9.55,85,5.75,27,7.61,27,0.65,58,0.58,32,0.89,42,-9.76,73,87.25,79,7.89,55,7.87,46,0.94,73,1.24,55,0.86,46,80.81,55,-9.76,37,,,,,,,,,,,,,,,-4.62,53,6.55,60,-9.52,30,0.91,84,-1.96,89,-5.57,15,-9.09,86,-5.24,95,-1.86,91,,,,
Spirit of America Income A,SOAIX,12/31/08,US Fund Long-Term Bond,No,,,,,,,,3.00,1.12,67,"131,152,195.00",73,"-41,463,490.84",86,"-100,946,123.18",95,"-96,374,568.83",68,-23.89,91,3.67,86,2.42,91,"Douglas Revello [$1 - $10,000];Mark Reilly [$0 - None];",4.38,5,7.08,87,4.73,73,41.79,5,19.96,77,23.62,68,0.00,64,9.73,1,0.06,19,0.11,23,20.91,32,232,59,0.00,83,0.00,72,10.34,83,0.00,28,0.09,17,0.05,23,0.00,61,0.28,72,3.88,71,3.63,100,0.68,5,1.31,29,0.44,95,86.28,85,-4.36,1,4.78,79,3.72,94,1.03,6,1.70,11,0.43,94,-4.36,1,85.90,84,7.32,73,4.59,91,1.45,1,3.24,19,0.48,82,73.56,82,-7.76,10,,,,,,,,,,,,,,,-3.89,27,6.86,47,-7.76,6,1.75,47,0.66,37,-4.05,1,-1.49,5,0.08,5,-0.88,64,,,17.10,34
T. Rowe Price Instl Lng Dur Crdt,RPLCX,6/3/13,US Fund Long-Term Bond,No,,,,,,,,3.00,0.45,48,"34,651,992.00",86,"-928,366.43",59,"-5,515,223.50",67,"12,836,624.33",47,-2.65,68,1.50,100,1.50,100,Robert M. Larkins [$0 - None],3.81,48,13.83,31,3.65,86,5.64,82,25.52,64,62.13,1,2.61,23,0.00,41,0.00,28,0.46,14,15.04,55,151,77,2.75,72,0.44,50,89.22,17,0.00,28,0.00,28,0.00,28,0.00,61,1.37,50,4.70,38,6.86,67,0.49,43,1.17,43,0.87,52,94.24,38,-8.85,43,5.50,53,7.14,58,0.66,53,0.46,58,0.86,58,-8.85,32,92.50,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,100,-0.38,63,-6.98,62,-8.45,46,-4.52,37,-0.60,50,,,,
Vanguard Long-Term Bond Index Admiral,VBLAX,2/7/19,US Fund Long-Term Bond,Yes,,,,,,,,2.00,0.07,16,"12,381,885,950.00",5,"421,473,158.14",14,"1,211,308,179.43",5,"3,292,298,794.71",6,3.52,55,6.42,73,6.42,50,Joshua C. Barrickman [$0 - None],,,15.12,1,44.80,14,6.08,68,20.39,73,28.73,59,0.00,64,0.00,41,0.00,28,0.00,32,14.03,59,"2,215",1,44.25,12,2.34,23,49.88,67,0.00,28,0.00,28,0.00,28,0.07,50,0.19,78,3.58,90,7.69,5,0.31,95,-0.18,95,1.00,5,99.38,5,-10.06,100,5.58,47,8.18,1,0.59,79,-0.18,89,1.02,1,-10.64,100,99.23,6,7.48,64,8.47,10,0.84,91,-0.28,91,1.02,1,99.15,1,-11.20,73,6.86,67,9.03,17,0.63,50,-0.16,100,1.02,17,-11.93,17,99.41,1,-7.03,93,13.74,7,-11.20,88,2.85,1,1.97,21,-9.41,100,-8.43,41,-4.86,50,1.09,10,8.64,25,1.76,89
Vanguard Long-Term Corporate Bd Idx Adm,VLTCX,1/19/10,US Fund Long-Term Bond,Yes,,,,,,,,4.00,0.07,16,"4,852,116,107.00",10,"1,367,856,818.36",1,"2,744,175,717.25",1,"3,348,823,431.40",1,39.26,10,9.67,37,9.67,10,Joshua C. Barrickman [$0 - None],4.03,24,13.54,50,3.19,95,7.72,46,37.17,28,51.92,14,0.00,64,0.00,41,0.00,28,0.00,32,3.75,86,"1,981",10,0.36,78,0.07,61,99.10,6,0.00,28,0.00,28,0.00,28,0.09,45,0.37,61,5.35,5,7.10,38,0.57,19,1.81,5,0.87,48,87.75,71,-9.35,62,5.86,21,7.68,21,0.66,47,0.64,27,0.90,32,-9.91,84,87.48,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.26,40,6.82,53,-9.56,41,1.09,68,-1.78,68,-5.98,34,-8.76,64,-4.70,46,-1.43,73,,,,
Vanguard Long-Term Investment-Grade Adm,VWETX,2/12/01,US Fund Long-Term Bond,No,6/10/19,Silver,Positive,Positive,Positive,Positive,Positive,4.00,0.12,27,"18,636,555,715.00",1,"-19,320,590.41",77,"1,018,762,308.30",10,"-1,354,018,274.57",84,-0.10,59,5.17,77,2.56,86,"Scott I. St. John [$100,001 - $500,000];Daniel Shaykevich [$0 - None];Samuel C. Martinez [$0 - None];",3.93,38,13.61,44,13.70,37,17.20,23,59.99,1,6.91,95,0.12,46,0.07,37,0.00,28,2.01,5,7.73,82,936,37,6.09,56,0.87,39,75.84,39,1.97,17,0.00,28,0.00,28,0.04,56,4.34,12,4.63,52,7.17,29,0.47,67,1.01,67,0.92,24,96.13,24,-8.80,38,6.19,6,7.54,42,0.71,21,0.82,21,0.93,27,-10.02,89,96.12,32,8.41,19,7.88,37,1.00,46,1.34,46,0.91,37,91.09,28,-10.11,55,7.17,50,9.02,34,0.66,34,0.34,50,0.98,34,-16.75,50,92.22,17,-5.41,67,8.70,40,-10.11,53,2.72,16,2.32,16,-7.35,67,-8.80,73,-4.57,41,-0.02,41,2.40,38,8.89,56
DoubleLine Long Duration Total Ret Bd I,DBLDX,12/15/14,US Fund Long Government,No,,,,,,,,4.00,0.65,67,"83,262,727.00",89,"12,424,242.89",59,"9,570,238.48",56,,,15.98,59,4.58,67,4.58,61,Jeffrey E. Gundlach [$0 - None];Vitaliy Liberman [$0 - None];,2.80,1,12.70,81,100.00,1,0.00,13,0.00,13,0.00,13,0.00,7,0.00,13,0.00,1,0.00,13,29.76,83,48,56,27.91,92,3.04,8,0.00,15,66.88,1,0.00,15,0.00,15,0.00,15,2.18,22,1.43,1,8.45,80,0.04,20,-0.04,7,0.85,80,95.23,93,-10.86,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08,78,-10.26,19,-6.94,19,-5.04,24,4.37,41,,,,
Fidelity® Long-Term Trs Bd Index,FNBGX,10/4/17,US Fund Long Government,Yes,,,,,,,,3.00,0.03,3,"2,171,392,963.00",45,"8,071,629.02",65,"467,637,160.29",50,"1,516,876,578.97",39,0.37,65,5.17,56,4.71,56,"Brandon Bettencourt [$0 - None];Jay Small [$1 - $10,000];",2.70,12,17.81,44,100.00,62,0.00,13,0.00,13,0.00,13,0.00,7,0.00,13,0.00,1,0.00,13,31.78,72,51,34,96.35,71,0.00,22,0.00,15,0.00,50,0.00,15,0.00,15,0.00,15,0.68,57,1.16,40,9.84,47,0.02,47,-0.25,53,1.02,47,99.47,27,-14.61,47,5.64,39,10.72,39,0.48,69,-0.24,61,1.05,39,-14.61,46,99.37,39,6.42,46,11.19,37,0.57,55,-0.34,55,1.04,37,99.34,19,-16.56,46,,,,,,,,,,,,,,,-10.20,46,22.49,39,-12.11,46,6.43,46,8.19,29,-14.17,56,-8.39,38,-5.20,47,4.39,30,24.26,37,-13.32,64
Fidelity® SAI Long-Term Treasury Bd Idx,FBLTX,10/8/15,US Fund Long Government,Yes,,,,,,,,3.00,0.03,3,"78,894,502.00",94,"23,756,213.50",53,"-683,431,469.52",100,,,43.08,30,3.75,78,3.75,72,Brandon Bettencourt [$0 - None];Jay Small [$0 - None];,2.64,24,18.24,25,100.00,1,0.00,13,0.00,13,0.00,13,0.00,7,0.00,13,0.00,1,0.00,13,34.41,50,41,61,99.30,50,0.00,22,0.00,15,0.00,50,0.00,15,0.00,15,0.00,15,0.70,43,1.27,14,10.21,27,0.03,27,-0.12,27,1.05,27,99.19,53,-14.75,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.75,75,-8.23,25,-4.99,18,4.48,18,,,,
Fidelity® Series Long-Term Trs Bd Idx,FTLTX,7/7/16,US Fund Long Government,Yes,,,,,,,,,0.00,1,"10,793,093,619.00",12,"3,210,855,556.64",12,"9,578,913,859.18",1,,,42.35,35,3.00,89,3.00,83,Brandon Bettencourt [$0 - None];Jay Small [$0 - None];,2.67,18,17.81,44,100.00,1,0.00,13,0.00,13,0.00,13,0.00,7,0.00,13,0.00,1,0.00,13,31.56,78,51,34,96.55,64,0.00,22,0.00,15,0.00,50,0.00,15,0.00,15,0.00,15,0.68,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.19,62,-8.36,31,-5.18,41,4.33,47,,,,
First Trust Long Duration Opp ETF,LGOV,1/22/19,US Fund Long Government,No,,,,,,,,,0.65,,"10,815,052.00",100,,,,,,,,,0.50,100,0.50,100,James W. Snyder [$0 - None];Jeremiah Charles [$0 - None];,,,,,,,,,,,,,,,,,,,,,55.35,23,28,72,26.61,100,-2.15,85,0.00,15,47.81,8,0.00,15,0.00,15,0.00,15,18.05,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invesco 1-30 Laddered Treasury ETF,PLW,10/11/07,US Fund Long Government,Yes,,,,,,,,2.00,0.25,,"131,900,891.00",83,"-47,875,000.00",82,"-127,257,000.00",81,"-172,168,500.00",92,-30.78,94,11.75,23,9.63,12,Philip Fang [$0 - None];Peter Hubbard [$0 - None];Jeffrey W. Kernagis [$0 - None];Gary Jones [$0 - None];Richard Ose [$0 - None];,2.04,88,11.09,93,100.00,62,0.00,13,0.00,13,0.00,13,0.00,7,0.00,13,0.00,1,0.00,13,47.46,34,28,72,99.96,36,0.00,22,0.00,15,0.00,50,0.00,15,0.00,15,0.00,15,0.04,78,1.12,67,6.29,93,-0.03,93,-0.42,93,0.64,93,98.70,67,-9.66,7,3.98,92,6.61,84,0.49,39,-0.11,23,0.65,84,-9.66,8,98.92,61,4.87,91,7.23,91,0.63,28,0.22,28,0.67,91,98.41,64,-9.95,10,,,,,,,,,,,,,,,-7.08,8,14.21,92,-8.11,8,3.91,84,5.41,92,-9.00,13,-5.14,7,-3.07,12,3.50,100,21.85,73,-10.92,37
iShares 10-20 Year Treasury Bond ETF,TLH,1/5/07,US Fund Long Government,Yes,2/26/19,Bronze,Positive,Positive,Positive,Neutral,Positive,3.00,0.15,,"1,133,334,549.00",56,"450,359,000.00",30,"-11,453,000.00",62,"753,226,000.00",61,66.02,18,9.00,28,8.50,17,James Mauro [$0 - None];Scott Radell [$0 - None];,2.22,82,11.61,87,100.00,1,0.00,13,0.00,13,0.00,13,0.00,7,0.00,13,0.00,1,0.00,13,99.78,1,12,94,,,,,,,,,,,,,,,,,1.32,7,6.48,86,0.01,73,-0.22,47,0.66,86,96.33,86,-10.09,14,4.18,84,6.41,92,0.53,1,0.23,1,0.61,92,-10.09,16,95.63,92,5.33,82,7.41,82,0.67,10,0.65,10,0.67,82,94.65,91,-10.09,19,,,,,,,,,,,,,,,-7.45,16,14.27,84,-8.70,16,3.44,92,5.57,85,-8.74,7,-5.32,13,-2.93,6,4.26,53,20.10,82,-8.39,19
iShares 20+ Year Treasury Bond ETF,TLT,7/22/02,US Fund Long Government,Yes,2/20/19,Bronze,Positive,Positive,Positive,Neutral,Positive,3.00,0.15,,"13,546,874,043.00",6,"6,181,483,000.00",6,"5,576,563,000.00",13,"9,274,711,000.00",8,75.95,12,9.00,28,8.50,17,James Mauro [$0 - None];Scott Radell [$0 - None];,2.43,65,17.32,62,100.00,1,0.00,13,0.00,13,0.00,13,0.00,7,0.00,13,0.00,1,0.00,13,58.60,17,37,67,,,,,,,,,,,,,,,,,1.14,53,10.11,34,0.02,53,-0.26,67,1.05,34,99.96,7,-15.24,73,5.85,31,10.91,31,0.49,16,-0.13,31,1.07,31,-15.24,69,99.89,8,6.61,37,12.15,28,0.55,64,-0.62,64,1.13,28,99.16,37,-17.81,73,6.83,20,12.63,20,0.48,80,-0.65,80,1.18,20,-21.53,80,98.15,40,-12.14,69,26.20,31,-12.45,61,7.18,31,8.03,43,-14.50,69,-8.98,75,-5.80,76,4.16,76,33.76,28,-21.53,73
iShares 7-10 Year Treasury Bond ETF,IEF,7/22/02,US Fund Long Government,Yes,2/7/19,Bronze,Positive,Positive,Positive,Neutral,Positive,2.00,0.15,,"16,459,543,806.00",1,"7,306,808,000.00",1,"7,105,322,000.00",7,"9,898,309,000.00",1,76.54,6,9.00,28,8.50,17,James Mauro [$0 - None];Scott Radell [$0 - None];,2.27,76,7.56,100,100.00,1,0.00,13,0.00,13,0.00,13,0.00,7,0.00,13,0.00,1,0.00,13,99.36,12,17,89,,,,,,,,,,,,,,,,,1.20,34,4.77,100,-0.03,100,-0.34,80,0.46,100,89.10,100,-7.08,1,3.24,100,4.98,100,0.48,46,0.02,8,0.46,100,-7.08,1,90.38,100,4.30,100,5.55,100,0.70,1,0.80,1,0.48,100,84.74,100,-7.40,1,4.86,100,5.99,100,0.60,1,0.60,1,0.52,100,-7.40,1,86.18,100,-4.28,1,9.62,100,-7.01,1,1.99,100,4.61,100,-6.38,1,-3.14,1,-1.26,1,3.75,94,18.03,91,-6.37,10
MassMutual Select TRP U.S. Treas L/T I,MMUTX,2/9/18,US Fund Long Government,No,,,,,,,,,0.15,16,"142,894,373.00",78,"34,252,768.83",47,,,,,30.91,47,1.42,94,1.42,94,Brian J. Brennan [$0 - None],1.74,100,,,,,,,,,,,,,,,,,,,42.73,39,52,28,90.98,85,5.51,1,0.00,15,2.98,36,0.00,15,0.00,15,0.00,15,0.54,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.72,70,4.10,82,,,,
PIMCO 25+ Year Zero Coupon US Trs ETF,ZROZ,10/30/09,US Fund Long Government,Yes,,,,,,,,3.00,0.15,,"259,032,473.00",72,"78,567,500.00",41,"-177,951,500.00",87,"150,573,500.00",69,41.91,41,3.58,83,1.69,89,Mitchell Handa [$0 - None];Matthew P. Dorsten [$0 - None];Graham A. Rennison [$0 - None];,2.51,59,27.47,1,100.00,1,0.00,13,0.00,13,0.00,13,0.00,7,0.00,13,0.00,1,0.00,13,51.72,28,21,83,,,,,,,,,,,,,,,,,0.94,93,15.31,1,0.04,1,-0.02,1,1.58,1,98.20,80,-22.14,100,7.94,1,17.28,1,0.47,77,-0.43,84,1.68,1,-22.64,100,97.99,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.72,100,51.53,1,-19.08,100,11.42,1,11.60,1,-20.97,100,-13.64,100,-8.90,100,4.72,12,,,,
PIMCO Extended Duration Instl,PEDIX,8/31/06,US Fund Long Government,No,,,,,,,,4.00,0.50,94,"1,416,333,319.00",50,"-187,659,638.18",88,"615,361,812.66",44,"772,778,457.43",54,-8.51,82,12.00,12,7.71,34,Stephen A. Rodosky [$0 - None];Michael Cudzil [$0 - None];,2.39,70,25.34,7,96.00,93,1.00,1,1.00,7,1.00,1,0.00,7,1.00,1,0.00,1,0.00,13,-95.86,100,261,6,142.94,1,-123.84,92,2.84,1,5.68,22,0.46,8,4.16,8,1.42,8,61.64,8,1.03,80,14.27,7,0.04,7,-0.04,14,1.47,7,98.67,73,-20.51,93,7.67,16,16.08,8,0.48,54,-0.28,69,1.57,8,-20.80,84,98.28,77,9.25,1,19.36,1,0.53,82,-1.17,82,1.77,1,95.45,73,-27.99,100,,,,,,,,,,,,,,,-20.87,92,46.21,8,-18.94,92,10.32,16,10.58,15,-19.80,87,-12.91,93,-8.51,94,4.82,6,49.19,10,-28.19,91
PIMCO Long-Term US Government Instl,PGOVX,7/1/91,US Fund Long Government,No,,,,,,,,4.00,0.48,83,"929,841,394.00",61,"-412,404,742.15",94,"-95,752,415.97",69,"-484,614,378.61",100,-34.08,100,12.00,12,7.71,34,Stephen A. Rodosky [$0 - None];Michael Cudzil [$0 - None];,2.57,41,17.07,75,94.00,100,1.00,1,3.00,1,0.00,13,1.00,1,1.00,1,0.00,1,0.00,13,-79.78,94,303,1,116.40,8,-137.86,100,1.76,8,19.24,15,1.48,1,7.44,1,2.29,1,69.03,1,1.13,60,9.60,73,0.01,67,-0.29,73,0.99,73,99.30,47,-13.80,27,5.27,69,10.31,77,0.46,84,-0.42,77,1.01,77,-13.80,23,99.15,54,6.91,28,10.75,73,0.63,19,0.36,19,1.00,73,98.78,46,-16.07,37,6.73,40,10.40,80,0.55,20,0.21,20,0.97,80,-16.07,20,97.24,80,-9.39,23,20.31,77,-12.53,69,6.09,69,6.82,71,-13.61,25,-8.51,56,-5.32,59,3.89,88,13.60,100,-2.08,1
